kind,name,source
power,doctrine_turn_state_power,wheel_strategy
power,kagetora_usage_power,fortune_armour_and_merit_a
power,doctrine_power,eight_formations_of_bishamonten
power,nagao_kagetora_form_power,fortune_is_in_heaven
power,kenshin_form_power,biten_hassou_kuruma_gakari_no_jin
power,incarnation_power,incarnation_of_bishamonten
power,bishamonten_blessing_power,prayer_to_bishamonten
power,bishamonten_blessing_active_power,vow_of_bishamonten
power,np_manifested_power,biten_hassou_shiranui
power,overcharge_preparation_power,jeweled_pagoda_c
power,bullet_curtain_power,bullet_curtain
power,serene_counter_power,serene_counterattack
power,fearless_chest_power,fearless_chest
power,just_path_power,just_path
power,riding_power,houshoutsukige_gallop
power,generals_doctrine_power,generals_doctrine
power,divinity_power,divinity_c_to_a
power,white_flame_power,white_flame_cold_and_burning
power,eight_formations_power,eight_formations_of_bishamonten
power,forced_doctrine_advance_power,fortune_armour_and_merit_a
power,treasure_in_heart_power,treasure_is_in_the_heart
power,treasure_window_power,treasure_in_the_heart_b
power,field_judge_power,field_judge
power,victory_is_in_the_feet_power,victory_is_in_the_feet
power,bishamonten_manifestation_power,manifestation_of_bishamonten
relic,jeweled_pagoda_of_bishamonten,jeweled_pagoda_c
relic,great_pagoda_of_bishamonten,treasure_in_the_heart_b
relic,oath_of_echigo,vow_of_bishamonten
relic,record_of_eight_formations,eight_formations_of_bishamonten
relic,commanders_holy_grail,generals_counsel
relic,sake_cup,sip_at_the_center_of_the_army
relic,eight_petal_banner,wall_of_banners
relic,houshoutsukige_reins,houshoutsukige_gallop
relic,six_plate_armour,six_plate_cuirass
relic,shiranui_tachi,shiranui_blade
relic,white_flame_brazier,white_flame_cold_and_burning
relic,echigo_salt_bag,send_salt_to_the_enemy
