file,assetId
brackish_lash,9400220
corrosive_tide,9406510
tide_pool,9407180
undertow,9405310
brood_nest,9307810
leviathan_coil,9305660
womb_of_the_beast,9406970
abyssal_toll,9301580
black_tide_surge,9407250
drowning_grip,9301500
ravenous_tide,9401330
riptide_snare,9400380
spawning_pool,9406950
venomous_nurse,9303560
larval_maw,9406090
mothers_vigil,9308830
protective_silt,9407070
genesis_deluge,9408810
abyssal_chrysalis,9308580
predatory_instinct,9407460
broken_horn_beast,9407070
call_of_the_sea,9308830
chaos_tide_deluge,9408810
core_of_the_goddess,9308580
devour_the_children,9406970
eye_of_the_blue_star,9307810
eye_of_the_red_star,9308580
feed_lahmu_beast,9307810
lahmu_tide,9307810
larval_surge,9308580
nammu_duranki,9307810
overtide,9407250
pluma_de_la_bestia,9407070
rising_tide,9401330
sea_of_the_azure_star,9308580
spawn_lahmu_beast,9307810
stagnant_tide,9407180
tidal_seal,9301580
