file,assetId
balmung,9304410
balmung_swing,9406620
dragonblood_cut,9302880
dragon_slayer_strike,9401270
dragon_slayers_edge,9300940
dragon_hunter_strike,9408310
fafnirs_executioner,9406610
heros_backswing,9304490
blood_baptism,9406270
dragon_scale_guard,9302720
dragonblood_ascendant,9300050
dead_dragons_edge,9301030
exposed_back,9308970
linden_scar,9406820
heavy_blow,9400470
iron_guard,9302860
crown_of_the_peerless,9300010
strategic_withdrawal,9303550
brave_resolve,9300420
by_my_conviction,9300980
golden_rule,9301060
nibelung_hoard,9300240
tarnkappe,9808680
grani_stalk,9802800
gather_prowess,9300780
weight_of_expectations,9300110
last_will,9303760
