file,assetId
arts,9404480
quick,9300450
enuma_elish_unleashed,9303540
merodach,9300940
caladbolg,9305280
harpe,9302740
vajra,9300610
durandal,9406620
houtengeki,9302900
dainsleif,9301210
treasure_cuirass,9300320
scornful_shot,9402250
rain_of_blades,9300280
kings_verdict,9300020
discarded_prototype,9806000
close_the_gate,9300210
appraisers_gaze,9403720
mongrel,9301150
turned_key,9302540
treasure_count,9408300
collectors_greed,9407690
portal_volley,9404100
wall_of_spears,9305590
total_barrage,9402420
nameless_blade,9301170
mongrels_execution,9306190
twin_lances,9308070
caladbolg_the_original,9302880
anticipated_shot,9300050
open_treasury_assault,9404730
caster_of_cu_vajra,9408620
kit_charisma,9301920
kit_collector,9402190
thorough_appraisal,9403020
walls_of_uruk,9304380
treasure_guards_the_king,9406760
kit_independent_action,9407700
kit_divinity,9301060
throne_of_the_onlooker,9407990
golden_arrogance,9300220
np_enuma_elish,9309270
chains_of_heaven_enkidu,9309540
collectors_absorption,9404790
recital_of_creation,9401960
strike_of_ea,9306410
rain_of_a_thousand_blades,9803100
tyrants_armor,9809220
vimana_assault,9402760
gram_origin_of_all_swords,9301030
