file,assetId
king_faes_word,9308450
nightfall,9401940
rye_rhyme_goodfellow_unleashed,9310610
lie_like_vortigern_unleashed,9303750
scale_dust,9303640
white_lie,9301240
dawns_advance,9400690
empty_promise,9304750
dreamlike_mist,9300520
fae_tribute,9302550
moth_flight,9402760
iron_eyes,9300690
early_collection,9402940
sweet_words,9402900
dusk_song,9400300
feather_coat,9303550
bedtime_story,9803700
dragonfly_wings,9408080
kings_favor,9300020
forget_me_not_petals,9406180
princes_smile,9403610
march_of_insect_fae,9808870
territory_creation_e_minus,9301640
ride_the_hawk_moth,9304470
evening_shroud,9402730
morning_lark_alt,9400410
royal_loan,9404430
false_starfall,9404830
nocturnal_euphoria,9403680
interest_in_my_favor,9805210
piper_of_autumn_wood,9306180
sting_of_resentment,9304620
fortune_e_x,9404530
midnight_assault,9403270
robin_goodfellows_trick,9402050
tricolor_dew,9404380
item_construction_a_plus,9402190
insects_vigil,9308020
light_sleep,9405730
while_the_world_sleeps,9405650
a_winters_tale,9405680
black_butterflies,9305670
the_swallowed_storm,9401530
threat_to_humanity,9301630
two_faced,9807070
but_a_dream,9401600
autumn_wood_harvest,9405690
mortgage_tomorrow,9301530
night_reading,9805550
thorn_of_the_abyss,9301580
faerie_negotiation,9808690
absolute_disguise,9309580
rye_rhyme_goodfellow,9307830
ending_of_dreams,9405070
lie_like_vortigern,9301030
lullaby_of_the_end,9405310
abyssal_fairy_dust,9310760
luck_e_x,9300450
wings_of_reverie,9304610
scale_avalanche,9303680
impossible_confession,9403090
sovereign_debt,9300120
the_worm_of_the_abyss,9303800
dragons_blender_maw,9806880
happy_ending_plan,9400480
ending_where_britain_has_future,9302760
collecting_names,9300870
court_of_insect_fae,9301090
end_of_the_tale,9303810
apocalypse_io_u,9302520
vespers_of_the_end,9403880
a_dream_raised_to_the_beyond,9301550
